2026-04-12 00:48:37.119 | INFO     | 1e80a738-1fc5-4d50-a995-a561d8903d02 | - | /api/v1/menus/my | OPTIONS | 200 | 2.65ms | 0B | 0B
2026-04-12 00:48:37.120 | INFO     | 1e80a738-1fc5-4d50-a995-a561d8903d02 | - | - | - | 200 | 2.65ms | -B | -B
2026-04-12 00:48:37.124 | INFO     | 1ea366a3-cbd8-4f27-9bfe-446c43e6e8ef | - | - | GET | - | -ms | -B | -B
2026-04-12 00:48:37.144 | INFO     | 1ea366a3-cbd8-4f27-9bfe-446c43e6e8ef | - | /api/v1/menus/my | GET | 422 | 20.19ms | 0B | 0B
2026-04-12 00:48:37.145 | INFO     | 1ea366a3-cbd8-4f27-9bfe-446c43e6e8ef | - | - | - | 422 | 20.19ms | -B | -B
2026-04-12 00:48:44.733 | INFO     | a2429d53-229e-47a8-b75a-702d8850c798 | - | - | GET | - | -ms | -B | -B
2026-04-12 00:48:44.735 | INFO     | cfad0319-0912-4abd-b432-fa70fca07e49 | - | - | GET | - | -ms | -B | -B
2026-04-12 00:48:44.738 | INFO     | ffd1d2cb-32b5-4d20-92c5-10c2caecf752 | - | - | GET | - | -ms | -B | -B
2026-04-12 00:48:44.763 | INFO     | a2429d53-229e-47a8-b75a-702d8850c798 | - | /api/v1/auth/profile | GET | 200 | 29.47ms | 0B | 0B
2026-04-12 00:48:44.763 | INFO     | a2429d53-229e-47a8-b75a-702d8850c798 | - | - | - | 200 | 29.47ms | -B | -B
2026-04-12 00:48:44.783 | INFO     | ffd1d2cb-32b5-4d20-92c5-10c2caecf752 | - | /api/v1/users/me/roles | GET | 422 | 44.14ms | 0B | 0B
2026-04-12 00:48:44.784 | INFO     | ffd1d2cb-32b5-4d20-92c5-10c2caecf752 | - | - | - | 422 | 44.14ms | -B | -B
2026-04-12 00:48:44.848 | INFO     | cfad0319-0912-4abd-b432-fa70fca07e49 | - | /api/v1/users/me/permissions | GET | 200 | 113.11ms | 0B | 0B
2026-04-12 00:48:44.849 | INFO     | cfad0319-0912-4abd-b432-fa70fca07e49 | - | - | - | 200 | 113.11ms | -B | -B
2026-04-12 00:48:44.913 | INFO     | a1480305-5f96-43c3-820d-b7b04c0eae4f | - | - | GET | - | -ms | -B | -B
2026-04-12 00:48:44.927 | INFO     | a1480305-5f96-43c3-820d-b7b04c0eae4f | - | /api/v1/menus/my | GET | 422 | 13.8ms | 0B | 0B
2026-04-12 00:48:44.927 | INFO     | a1480305-5f96-43c3-820d-b7b04c0eae4f | - | - | - | 422 | 13.8ms | -B | -B
2026-04-12 00:49:17.009 | INFO     | 91d0837b-c1c1-42b0-b10a-6392da42a3d7 | - | - | GET | - | -ms | -B | -B
2026-04-12 00:49:17.011 | INFO     | 91d0837b-c1c1-42b0-b10a-6392da42a3d7 | - | /api/v1/roles | GET | 401 | 2.42ms | 0B | 0B
2026-04-12 00:49:17.012 | INFO     | 91d0837b-c1c1-42b0-b10a-6392da42a3d7 | - | - | - | 401 | 2.42ms | -B | -B
2026-04-12 00:49:26.324 | INFO     | c89f6033-c218-4360-b6db-92ecbfa9c629 | - | - | POST | - | -ms | -B | -B
2026-04-12 00:49:26.716 | INFO     | - | - | - | - | - | -ms | -B | -B
2026-04-12 00:49:26.718 | INFO     | c89f6033-c218-4360-b6db-92ecbfa9c629 | - | /api/v1/auth/login | POST | 200 | 394.71ms | 0B | 0B
2026-04-12 00:49:26.719 | INFO     | c89f6033-c218-4360-b6db-92ecbfa9c629 | - | - | - | 200 | 394.71ms | -B | -B
2026-04-12 00:49:44.282 | INFO     | cab08db4-5391-4be2-a5f2-086e045dd94d | - | - | GET | - | -ms | -B | -B
2026-04-12 00:49:44.322 | INFO     | cab08db4-5391-4be2-a5f2-086e045dd94d | - | /api/v1/roles | GET | 200 | 40.03ms | 0B | 0B
2026-04-12 00:49:44.323 | INFO     | cab08db4-5391-4be2-a5f2-086e045dd94d | - | - | - | 200 | 40.03ms | -B | -B
