2026-04-13 00:59:08.781 | INFO     | App.Core.Middleware:logging_middleware:202 | daef58ef-fd2e-4f2c-a920-23af9e3d85eb | - - Response sent
2026-04-13 00:59:08.840 | INFO     | App.Core.Middleware:logging_middleware:147 | de19d500-7f24-4571-a232-1da44fb91568 | - - Request received
2026-04-13 00:59:08.844 | INFO     | App.Utils.Logger:log_performance:110 | de19d500-7f24-4571-a232-1da44fb91568 | - - Performance log
2026-04-13 00:59:08.844 | INFO     | App.Core.Middleware:logging_middleware:202 | de19d500-7f24-4571-a232-1da44fb91568 | - - Response sent
2026-04-13 00:59:10.522 | INFO     | App.Core.Middleware:logging_middleware:147 | 0e18085d-f9c8-4d65-a5d4-5e138fdee581 | - - Request received
2026-04-13 00:59:10.524 | INFO     | App.Utils.Logger:log_performance:110 | 0e18085d-f9c8-4d65-a5d4-5e138fdee581 | - - Performance log
2026-04-13 00:59:10.524 | INFO     | App.Core.Middleware:logging_middleware:202 | 0e18085d-f9c8-4d65-a5d4-5e138fdee581 | - - Response sent
2026-04-13 00:59:10.575 | INFO     | App.Core.Middleware:logging_middleware:147 | 50cf05f9-b966-49fe-b273-84eaba23210b | - - Request received
2026-04-13 00:59:10.579 | INFO     | App.Utils.Logger:log_performance:110 | 50cf05f9-b966-49fe-b273-84eaba23210b | - - Performance log
2026-04-13 00:59:10.579 | INFO     | App.Core.Middleware:logging_middleware:202 | 50cf05f9-b966-49fe-b273-84eaba23210b | - - Response sent
2026-04-13 00:59:23.968 | INFO     | App.Core.Middleware:logging_middleware:147 | f7ba7215-80f1-4466-b574-d62c9d5d8906 | - - Request received
2026-04-13 00:59:23.981 | ERROR    | App.Main:custom_exception_handler:99 | - | - - Custom Exception: 用户名或密码错误, Code: 40100
2026-04-13 00:59:23.982 | INFO     | App.Utils.Logger:log_performance:110 | f7ba7215-80f1-4466-b574-d62c9d5d8906 | - - Performance log
2026-04-13 00:59:23.983 | INFO     | App.Core.Middleware:logging_middleware:202 | f7ba7215-80f1-4466-b574-d62c9d5d8906 | - - Response sent
